title,runtime,box_office,imdb_rating,imdb_votes,release_date,release_year
The Age of Adaline,112,42629776.0,7.2,212877,2015-04-24,2015
London,92,20361.0,6.3,25119,2021-07-03,2021
Friends with Kids,107,7251073.0,6.1,43369,2012-03-16,2012
Girls Trip,122,115171585.0,6.2,41464,2017-07-21,2017
The Art of the Steal,90,64065.0,6.3,26330,2014-06-18,2014
Macbeth,113,1110707.0,6.6,60210,2015-12-11,2015
London Has Fallen,99,62524260.0,5.9,174344,2016-03-04,2016
Anthropoid,120,2964845.0,7.2,55712,2016-09-09,2016
A Quiet Place,90,188024361.0,7.5,620408,2018-04-06,2018
God's Not Dead 2,120,20774575.0,4.3,13832,2016-04-01,2016
Hamlet 2,92,4886216.0,6.3,17453,2008-08-27,2008
Ashby,100,4631.0,6.4,16349,2015-09-25,2015
Middle Men,105,754301.0,6.8,38590,2010-08-06,2010
Ginger & Rosa,90,1012973.0,6.2,11877,2012-10-19,2012
Blood Diamond,143,57377916.0,8.0,600904,2006-12-08,2006
Hotel Transylvania 3: Summer Vacation,97,167510016.0,6.3,90465,2018-07-13,2018
Song to Song,129,443684.0,5.6,23002,2017-03-17,2017
The Art of Self-Defense,104,2410914.0,6.6,41578,2019-07-19,2019
Ninja Assassin,99,38122883.0,6.3,76573,2009-11-25,2009
Mechanic: Resurrection,98,21218403.0,5.7,96852,2016-08-26,2016
The Hunting Party,101,969869.0,6.8,26288,2007-09-21,2007
Certain Women,107,1087585.0,6.4,16105,2017-02-22,2017
The Post,116,81903458.0,7.2,165772,2018-01-12,2018
Now You See Me 2,129,65075540.0,6.4,333462,2016-06-10,2016
Bedtime Stories,99,110101975.0,6.0,102992,2008-12-25,2008
Saving Mr. Banks,125,83301580.0,7.5,172080,2013-12-20,2013
Elegy,112,3581642.0,6.7,23406,2008-04-18,2008
Welcome to Marwen,116,10763520.0,6.2,26683,2018-12-21,2018
Berberian Sound Studio,92,38493.0,6.2,17777,2012-08-31,2012
Frankenweenie,87,35291068.0,6.9,120955,2012-10-05,2012
Unknown,113,63686397.0,6.8,271966,2011-02-18,2011
Power Rangers,124,85364450.0,5.9,116053,2017-03-24,2017
Moonrise Kingdom,94,45512466.0,7.8,371931,2012-06-29,2012
The Departed,151,132399394.0,8.5,1460913,2006-10-06,2006
Let Me In,116,12134935.0,7.1,129885,2010-10-01,2010
Brightburn,90,17300439.0,6.1,111355,2019-05-24,2019
Alpha,96,35857181.0,6.6,68140,2018-08-17,2018
Love the Coopers,107,26302731.0,5.8,28112,2015-11-13,2015
The Turning,94,15472775.0,3.9,16723,2020-01-24,2020
The Tree of Life,139,13303319.0,6.8,186565,2011-05-17,2011
World's Greatest Dad,99,221805.0,6.9,41344,2010-09-24,2010
Red Dawn,93,44806783.0,5.3,82006,2012-11-21,2012
The Last Song,107,62950384.0,6.0,93589,2010-03-31,2010
One Chance,103,101196.0,6.8,13318,2013-10-25,2013
Borat,84,128505958.0,7.4,456906,2006-11-03,2006
Stronger,119,4211129.0,6.9,50936,2017-09-29,2017
Freaks of Nature,92,70958.0,5.9,13813,2015-10-30,2015
Shame,101,3909002.0,7.2,210180,2012-01-13,2012
Bride Wars,89,58715510.0,5.5,117655,2009-01-09,2009
How Do You Know,121,30212620.0,5.4,55643,2010-12-17,2010
Over the Hedge,83,155019340.0,6.7,194356,2006-05-19,2006
Land of the Lost,102,49438370.0,5.3,76725,2009-06-05,2009
The Shaggy Dog,98,61123569.0,4.4,20499,2006-03-10,2006
He's Just Not That Into You,129,93953653.0,6.4,186823,2009-02-06,2009
Rush Hour 3,91,140125968.0,6.2,189761,2007-08-10,2007
Before I Go to Sleep,92,3242457.0,6.3,85974,2014-10-31,2014
Chernobyl Diaries,86,18119640.0,5.0,69450,2012-05-25,2012
If Beale Street Could Talk,119,14915773.0,7.1,53420,2018-12-25,2018
Good Kill,102,316472.0,6.4,25169,2015-05-15,2015
Semi-Pro,91,33479698.0,5.8,87055,2008-02-29,2008
The Host,120,2201923.0,7.1,136559,2007-03-30,2007
A Hidden Life,174,1730597.0,7.4,29539,2020-01-17,2020
National Treasure: Book of Secrets,124,219964115.0,6.5,259750,2007-12-21,2007
Awake,84,14377198.0,6.5,82099,2007-11-30,2007
